date,close
2015-01-01,315.0
2015-01-02,315.32
2015-01-03,315.63
2015-01-04,315.95
2015-01-05,316.26
2015-01-06,316.58
2015-01-07,316.9
2015-01-08,317.21
2015-01-09,317.53
2015-01-10,317.84
2015-01-11,318.16
2015-01-12,318.48
2015-01-13,318.79
2015-01-14,319.11
2015-01-15,319.42
2015-01-16,319.74
2015-01-17,320.05
2015-01-18,320.37
2015-01-19,320.69
2015-01-20,321.0
2015-01-21,321.32
2015-01-22,321.63
2015-01-23,321.95
2015-01-24,322.27
2015-01-25,322.58
2015-01-26,322.9
2015-01-27,323.21
2015-01-28,323.53
2015-01-29,323.85
2015-01-30,324.16
2015-01-31,324.48
2015-02-01,324.79
2015-02-02,325.11
2015-02-03,325.43
2015-02-04,325.74
2015-02-05,326.06
2015-02-06,326.37
2015-02-07,326.69
2015-02-08,327.01
2015-02-09,327.32
2015-02-10,327.64
2015-02-11,327.95
2015-02-12,328.27
2015-02-13,328.59
2015-02-14,328.9
2015-02-15,329.22
2015-02-16,329.53
2015-02-17,329.85
2015-02-18,330.16
2015-02-19,330.48
2015-02-20,330.8
2015-02-21,331.11
2015-02-22,331.43
2015-02-23,331.74
2015-02-24,332.06
2015-02-25,332.38
2015-02-26,332.69
2015-02-27,333.01
2015-02-28,333.32
2015-03-01,333.64
2015-03-02,333.96
2015-03-03,334.27
2015-03-04,334.59
2015-03-05,334.9
2015-03-06,335.22
2015-03-07,335.54
2015-03-08,335.85
2015-03-09,336.17
2015-03-10,336.48
2015-03-11,336.8
2015-03-12,337.12
2015-03-13,337.43
2015-03-14,337.75
2015-03-15,338.06
2015-03-16,338.38
2015-03-17,338.7
2015-03-18,339.01
2015-03-19,339.33
2015-03-20,339.64
2015-03-21,339.96
2015-03-22,340.27
2015-03-23,340.59
2015-03-24,340.91
2015-03-25,341.22
2015-03-26,341.54
2015-03-27,341.85
2015-03-28,342.17
2015-03-29,342.49
2015-03-30,342.8
2015-03-31,343.12
2015-04-01,343.43
2015-04-02,343.75
2015-04-03,344.07
2015-04-04,344.38
2015-04-05,344.7
2015-04-06,345.01
2015-04-07,345.33
2015-04-08,345.65
2015-04-09,345.96
2015-04-10,346.28
2015-04-11,346.59
2015-04-12,346.91
2015-04-13,347.23
2015-04-14,347.54
2015-04-15,347.86
2015-04-16,348.17
2015-04-17,348.49
2015-04-18,348.8
2015-04-19,349.12
2015-04-20,349.44
2015-04-21,349.75
2015-04-22,350.07
2015-04-23,350.38
2015-04-24,350.7
2015-04-25,351.02
2015-04-26,351.33
2015-04-27,351.65
2015-04-28,351.96
2015-04-29,352.28
2015-04-30,352.6
